ID,PARTICIPANTS,Which system are you assigned to?,Do you identify the presence of the Cyclic Dependency smell in this system?,How can you justify your decision about Cyclic Dependency?,Do you identify the presence of the Microservice Greedy smell in this system?,How can you justify your decision about Microservice Greedy?,Do you identify the presence of the Nano Service smell in this system?,How can you justify your decision about Nano Service?,Do you identify the presence of the No API Gateway smell in this system?,How can you justify your decision about No API Gateway?,Do you identify the presence of the Shared Database smell in this system?,How can you justify your decision about Shared Database?
G1,"P15, P18",1-cqrs-microservice-sampler,1,"De acordo com estrutura da arquitetura, não foi encontrado um primeiro microsserviço que dependa de um segundo microsserviço, que por sua vez dependa do primeiro, mesmo que indiretamente. Isso pode ser evidenciado, por exemplo, no arquivo wip.yml do repositório, em que são definidas as dependências entre os microsserviços, e na representação visual da própria arquitetura (arquivos CQRS-Architecture-01.png e CQRS-Architecture-02.png). O fluxo de dependências é, portanto, acíclico.",3,"Os microsserviços de Gateway e Query possuem muita responsabilidade no sistema, sendo os únicos responsáveis pela leitura e escrita dos dados. Qualquer integração adicionada posteriormente necessariamente dependerá desses dois microsserviços propostos na arquitetura CQRS.",3,"O microsserviço discovery possui uma responsabilidade insignificante, sendo necessário apenas para localizar um outro serviço. Sua função poderia, por exemplo, estar integrada nos microsserviços de command e query.",1,"Nessa aplicação, o microsserviço Gateway exerce justamente a função de conectar as requisições do lado do cliente com os demais serviços, evitando o problema causado por esse bad smell.",1,"A proposta principal da arquitetura é justamente evitar que dados sejam corrompidos ou recuperados de forma inconsistente, ao se separar a leitura e escrita dos dados em microsserviços diferentes."
G2,"P33, P34",1-cqrs-microservice-sampler,1,"The diagram is too simplistic, meaning that it doesnt show any interaction between services. Reading the labels and inferring how the interaction works also doesnt show any signs of cyclic dependency, therefore we didnt find any sign of such smell.",2,"Cant really identify wether there is a microservice greedy smell, since we dont have the interactions, but we can identify that the command and query microservices look central and might be the main services of this architecture.",3,"The Config Microservice and it's description seem oversimplistic to have their own microservice. We still can't see interactions or its content, but in our experience this seems like a nano service.",1,There is a Gateway Service clearly labeled.,3,"We cant see the interactions in this system, but the 2 databases present seem to be shared between the same services. We cant see its tables as well."
G3,"P27, P29",2-e-commerce-microservice-example,2,"Provavelmente não está presente, porém com o crescimento do sistema, isso poderia aparecer por conta da dependência do usuário em outros microserviços, como o carrinho.",1,"Não está presente, pois os microserviços estão bem distribuídos.",2,"O search é pequeno demais e poderia ser integrado ao microserviço de produtos, por causa da presença do ElasticSearch que, provavelmente, atua somente no MongoDB no momento atual do projeto. ",4,Não tem a presença do gateaway e o frontend é responsável por todas as requisições e domínios dos microserviços.,1,Não tem porque os bancos de dados estão bem distribuídos entre os microserviços.
G4,"P9, P10",2-e-commerce-microservice-example,2,"Não há dependência cíclica porque analisamos todos os microsserviços e não identificamos chamadas cíclicas entre os microsserviços. No componente ""Store UI"" as chamadas para os serviços de carrinho e produto tem o usuário mockado. ",1,"Não identificamos a presença de um microsserviço que concentre múltiplas responsabilidades. As chamadas para microsserviços são concentradas na própria Store UI, que não é considerado um microsserviço.",3,"O microsserviço de busca (Search Microservice) é um serviço muito pequeno, que não implementa diretamente nenhuma lógica de negócio.",4,"O frontend, identificado como Store UI, faz chamadas diretas aos microsserviços, sem uma camada intermediária, caracterizando o smell.",1,"Não há evidências do smell de Shared Database, uma vez que os serviços que fazem operações em bancos de dados não acessam os mesmos bancos. Por exemplo: o serviço de produto acessa o MongoDB, enquanto o serviço de usuário acessa o PostgreSQL."
G5,"P5, P13",2-e-commerce-microservice-example,2,"Implicitamente não identificamos dependência cíclica, porém pensamos que o microsservice de search precisa acessar o serviço de produtos para atualizar a pesquisa dos produtos, o que acaba causando uma dependência entre Store UI => Search => Produtos => Store UI => Produtos",2,O serviço web acaba absorvendo toda a orquestração dos sistemas porém em arquiteturas frontends atuais é sabido que BFFs poderia ajudar na perfomance nesse sentido.,4,"Implicitamente o microsserviço de search depende de outros microsserviços (produto). Além disso, o elastic search poderia estar dentro domínio de produtos, porque a busca não é um domínio em si e sim uma ação de um contexto.",4,"O frontend chama diretamente todos os outros microsserviços, aumentando a complexidade por consequência do alto acoplamento e latência. Ele basicamente é o responsável por ligar todos os fluxos, o que pode levar a uma grande falha de segurança no sistema.",2,"Se pensarmos que o serviço de search necessita acessar uma base de dados compartilhada de produtos, então conseguimos identificar um bad smell. Isso não é mostrado no diagrama, mas precisamos de uma fonte de dados de busca para o serviço de search."
G6,"P4, P1",3-enterprise-planner,4,"Analisamos o repositório a dependência cíclica entre o Orders que depende do Customers e o Shipments que também depende do Customers e Orders. Logo, uma instabilidade em um dos microsserviços comprometeria o funcionamento dos outros.",1,Apesar da dependência cíclico os microsserviços têm responsabilidades separadas.,4,Os microsserviços presentes poderiam ser unificados em um mesmo microsserviço pois são responsabilidades simples e que poderiam coexistir.,1,Temos um API Gateway que evita a conexão direta do cliente com os microsserviços individuais,1,"Ao contrário do estabelecido no bad smell cada um possui um database que não consideramos uma boa prática pois cada um poderia ser uma tabela de um banco de dados, isso evitaria dependência e comunicação excessiva entre os microsserviços."
G7,"P12, P31",3-enterprise-planner,2,"De acordo com a imagem da arquitetura há cinco microserviços que estão intrisecamente conectados (Costumer, Order, Production, Quality e Shipment). O que pode indicar possível dependência cíclica dependendo da forma como foi construido. ",1,"Pela definição de cada microserviço e pela imagem do modelo da arquitetura, é perceptivo que cada microserviço possui uma responsabilidade bem definida, indicando que não existe um god serviçe.",3,"O serviço de autenticação e autorização poderiam ser acoplados em um único microserviço pois os dois estão dando permissão de acesso ao usuário. As ideias são complementares e estão dentro do mesmo contexto de autorização. Isso sugere que o serviço de autorização seja unificado no de autênticação. Outro indicio é que ao analisar o código, não é encontrado de maneira intuitiva o serviço de autorização.",1,"Tanto pela imagem do modelo da arquiterua fornecida, quanto pela análise do código, é notório o uso do gateway.",1,"Ao análisar o código, foi verificado o uso de um banco de dados para cada microserviço."
G8,"P32, P6",3-enterprise-planner,2,"Na avaliação simples do diagrama não aparentou ter dependência cíclica. Além disso, Não há indícios claros de dependências cíclicas diretas entre no código",1,"Todos os serviços parecem ser cruds simples, com banco de dados próprio.",1,"Os serviços aparentam ter responsabilidades bem definidas, e não aparentam ser nano. Por conta disso, acreditamos que não há.",1,"Existe um API Gateway bem definido, sendo possível visualizá-lo tanto no diagrama, quanto no código.",1,Cada micro serviço possui banco de dados próprio e bem definido  
G9,"P24, P3",4-eShopOnContainers,2,"The microservices don't depend on themselves directly but all of them communicate with each other by calling the event bus. Depending on whether a service dependns on particular messages from other, it is possible to have something similar to a cyclic dependency.",1,"As the above case, we can see no dependency between the services as they use the event bus to communicate. Also, there's no signal of a service which is more relevant to the others or takes too many responsibilities.",1,Each of the identified services is responsible for a relevant part of the system which are bigger enought to justify the existance of the service.,2,"All of the client apps connect to a gateway endpoint to reach the services. Considering the admin services which connects directly to the services, there might be a smell depending on the interfaces used by the admin services.",1,Each of the microservices have its own database and we can see no shared access to the data.
G10,"P2, P22",4-eShopOnContainers,1,"We didn't identified any cyclic dependency because each microservice has their owns server or cache. The only coupling that we see is the relation among Catalog, ordering and basket, but it is expected, because if we have a problem with catalog, it may impact the other microservices.
We identified the coupling between Basket and Identity, we consider that to buy something you must be validated and identified, there is this coupling but it is not cyclic.
We didn't see this dependency on other micro services.",1,The architecture is well divided in microservices and each microservice has its own responsibility well defined.,3,"Just analyzing the architecture, we believe that the API Gateways could be merged into only one API/gateway because the requests made by mobile and web client are the same.",1,There is API gateway well defined.,1,Each microservice has its own database instance.
G11,"P14, P23",5-lake-side-manual,1,"Analisando os fluxos entre as camadas (front-end, back-end e dados) não foi possível visualizar algum ciclo.",3,"Existe um microsserviço conectado a outros sete em um universo de dez microsserviços. Dessa forma identificamos um ""quase"" greedy.",4,"Ao analisar o microsserviço ""risk-management-client"", percebemos que ele apresenta uma única saída para um backend, ao verificar melhor esse serviço vimos que ele poderia assumir o papel do frontend. Isso se dá, uma vez que é uma ferramenta de linha de comando, sendo uma característica da camada servidora.
",4,Não identificamos algum microsserviço que possa ser o Gateway.,4,No serviço que identificamos como banco de dados ele está sendo compartilhado por três outros microsserviços backend. 
G12,"P26, P21",6-spinnaker/spinnaker,2,Não ocorrência de ciclos pelo que foi analisado no diagrama do sistema.,4,"Existe um microsserviço Fiat é um serviço fundamental para o sistema, visto que ele fornece as autorizações necessárias para os outros serviços.",1,"Não tem nano serviço, visto que todos os serviços têm lógica não trivial que são necessários para o funcionamento do sistema.",1,Existe um microsserviço Gate é uma API responsável por ligar serviços e entregar para o cliente.,2,"Pelo o que foi analisado no github, não há uma pasta central do banco de dados e cada serviço possui uma descrição de como o banco de dados é utilizado."
G13,"P8, P30",7-spring-petclinic/spring-petclinic-microservices,1,Na imagem que descreve a arquitetura não foi possível identificar nenhum ciclo.,3,"O customers-service REST-API apresenta um maior número de chamadas que as outras API's, sendo a API ""UI + API Gateway"" a principal neste quesito. ",1,"Não há a presença de serviços muito pequenos no sistemas que dependem excessivamente entre si. Dessa forma, apenas o serviço que leva até o git Repo, poderia ser algo mais identificado neste sentido, mas não há uma excessiva quebra em microsserviços.",1,"O ""UI + API Gateway"" comprova que não há a existência deste smell neste sistema.",1,"Há um banco para cada uma das API's, dessa forma, não há o smell identificado como ""Shared Database""."
G14,"P28, P16",8-yidongnan/spring-cloud-netflix-example,2,"Analisando apenas pelo desenho da arquitetura do sistema, aparentemente não há dependência cíclica. Eu e minha dupla não temos base teórica ou prática em reconhecer bad smells no código, então não analisamos a fundo. ",4,"Analisando apenas pelo desenho da arquitetura do sistema, aparentemente muitos componentes são forçados a comunicar com o Eureka, o que pareceu ser no nosso entendimento como Microservice Greedy. 
Eu e minha dupla não temos base teórica ou prática em reconhecer bad smells no código, então não analisamos a fundo. ",2,"Analisando apenas pelo desenho da arquitetura do sistema e a alta complexidade, aparentemente não há nano service, porque não há excesso de regras de negócios ignoráveis.
Eu e minha dupla não temos base teórica ou prática em reconhecer bad smells no código, então não analisamos a fundo. ",2,"Analisando apenas pelo desenho da arquitetura do sistema, aparentemente não há esse problema, pois o Gateway Zuul conecta o usuário externo com os outros sistemas. 
Eu e minha dupla não temos base teórica ou prática em reconhecer bad smells no código, então não analisamos a fundo. ",2,"Não conseguimos entender a estrutura de database do sistema, portanto consideramos que é externo. "
G15,"P11, P19",8-yidongnan/spring-cloud-netflix-example,4,"De acordo com o diagrama de arquitetura, alguns microsserviços tem dependência cíclica, como por exemplo o Eureka <-> Spring Boot Admin e Eureka <-> Hystrix Dashboard. Esses microsserviços dependem uns dos outros mutuamente, o que indica que a falha de um, causa também a falha do outro, o que pode gerar um efeito em cascata.",1,"Analisando o diagrama de arquitetura, não encontramos a ocorrência do bad small ""Microservice Greedy"", pois existem vários tipos de microsserviços no sistema, que são separados de forma independente, ou seja, um não existe um microsserviço que é responsável por uma grande quantidade de funções.",3,"Analisando o diagrama, pudemos observar que existem diversos microsserviços pequenos, porém, não é possível afirmar com total certeza, tendo em vista que o repositório não tem implementação, apenas ""esqueleto"" de um sistema implementado com a arquitetura de microsserviços, ou seja, depende da implementação feita em cada um.",1,"Não, no diagrama é possível observar que o ponto de entrada do cliente e o sistema é feito unicamente pelo microsserviço ""Zuul"", portanto, o cliente não sabe da existência dos outros serviços.",1,"Ao analisar o sistema, não foi possível afirmar se existe o bad smell ""Shared Database"", pois como o repositório é apenas um ""esqueleto"", não existem arquivos ou indícios de que todos os microsserviços usem o mesmo banco de dados, ou que usem bancos separados, apesar da existência de arquivos de configuração específicos para cada microsserviço."
G16,"P20, P25",8-yidongnan/spring-cloud-netflix-example,1,There is no cycles in the architecture design pattern.,1,Each layer is self-contained and handles just one responsibility. There is nothing to suggest that any service would perform more than one determined responsibility.,2,"In this particular example, Services A and B are just samples that perform simple tasks, such as sending simple messages. However, if both services grew to include more specific features that distinguished them, the architecture would be justified.",1,The client only communicates with Zuul. Zuul then communicates with the services. The services only have one endpoint. This means that Zuul is the API gateway.,1,Features of this microservice system are implemented without recourse to a database.
G17,"P7, P17",9-mohamed-abdo/vehicle-tracking-microservices,1,"Analysing the code and the diagram provided, I wasnt able to identify any Cyclic Dependency.",4,RabbitMQSubscriberWorker seem to handle too much stuff.,4,Microservice Tracking appear to have a very limited scope.,2,The diagram shows that the project contains an API gateway but I wasn~t able to check if its used in all cases.,2,TrackingDB services appear to be used by more than one MS but I wasnt able to fully identify it.